Time,Location,MaxTemperature,AvgTemperature,MinTemperature,MaxDewPoint,AvgDewPoint,MinDewPoint,MaxHumidity,AvgHumidity,MinHumidity,MaxWindspeed,AvgWindspeed,MinWindspeed
2021-3-11,HoChiMinh,95,85.1,77,73,68.4,61,83,59.1,32,17,7.7,2
2021-3-12,HoChiMinh,95,86.0,79,70,65.6,57,74,52.6,28,12,6.4,1
2021-3-13,HoChiMinh,95,85.2,79,72,66.4,61,78,55.3,32,14,6.3,1
2021-3-14,HoChiMinh,95,83.0,75,73,69.2,57,94,66.1,28,17,6.8,1
2021-3-15,HoChiMinh,93,82.8,77,72,70.1,66,83,66.5,41,13,6.2,2
2021-3-16,HoChiMinh,91,82.3,77,73,72.3,70,89,72.4,52,14,7.7,3
2021-3-17,HoChiMinh,91,82.5,77,73,71.2,66,89,69.6,46,12,7.6,2
2021-3-18,HoChiMinh,91,83.3,77,75,72.7,70,89,71.8,52,13,7.8,3
2021-3-19,HoChiMinh,93,84.7,79,75,73.9,70,89,71.8,46,12,7.5,2
2021-3-20,HoChiMinh,91,84.5,81,77,75.0,72,89,74.4,55,10,7.1,3
2021-3-21,HoChiMinh,95,85.1,81,77,74.0,70,84,70.8,44,16,7.3,1
2021-3-22,HoChiMinh,97,86.5,77,75,71.2,61,89,63.6,30,12,5.8,1
2021-3-23,HoChiMinh,97,86.2,79,75,69.1,63,79,58.4,32,12,5.9,0
2021-3-24,HoChiMinh,97,86.7,81,73,70.0,64,79,59.3,36,17,7.7,2
2021-3-25,HoChiMinh,97,86.7,81,75,71.0,66,74,60.3,37,12,7.1,2
2021-3-26,HoChiMinh,97,85.9,79,73,70.8,66,78,61.8,37,16,9.4,5
2021-3-27,HoChiMinh,97,86.3,81,75,72.1,66,84,64.7,37,13,8.8,2
2021-3-28,HoChiMinh,97,85.6,79,75,72.1,66,89,66.9,37,14,8.1,2
2021-3-29,HoChiMinh,95,85.5,81,77,73.2,68,89,68.8,41,12,6.5,1
2021-3-30,HoChiMinh,97,85.0,81,79,74.9,70,89,73.6,41,10,6.7,2
2021-3-31,HoChiMinh,97,86.3,81,79,75.7,70,89,72.4,41,12,7.1,1
2021-4-1,HoChiMinh,97,86.8,81,77,73.8,66,89,67.5,37,12,7.3,2
2021-4-2,HoChiMinh,99,88.0,82,81,75.2,66,94,68.5,35,13,6.6,1
2021-4-3,HoChiMinh,95,84.0,73,79,75.2,72,100,76.8,47,16,6.8,0
2021-4-4,HoChiMinh,93,84.4,75,79,75.1,72,94,74.6,49,16,7.9,2
2021-4-5,HoChiMinh,93,85.1,79,77,73.2,68,94,69.0,46,10,6.6,1
2021-4-6,HoChiMinh,97,86.8,79,75,68.8,61,89,57.5,32,12,8.2,3
2021-4-7,HoChiMinh,97,86.5,79,75,70.8,64,83,62.3,34,12,6.6,2
2021-4-8,HoChiMinh,91,83.8,81,77,74.7,72,89,75.0,55,13,6.3,1
2021-4-9,HoChiMinh,90,83.3,77,77,75.8,72,89,79.3,62,12,6.0,1
2021-4-10,HoChiMinh,95,84.6,79,77,75.3,68,94,75.4,41,12,5.0,1
2021-4-11,HoChiMinh,95,85.5,81,79,73.0,68,84,67.3,41,12,7.8,5
2021-4-12,HoChiMinh,95,84.7,79,75,73.2,70,89,69.7,44,14,7.2,3
2021-4-13,HoChiMinh,93,85.5,81,77,75.7,73,89,73.7,55,13,8.1,2
2021-4-14,HoChiMinh,95,86.0,82,79,75.1,70,89,70.7,47,10,6.3,2
2021-4-15,HoChiMinh,95,83.8,75,81,76.0,72,100,78.9,47,12,4.7,0
2021-4-16,HoChiMinh,93,82.9,72,79,74.2,68,100,76.4,46,31,6.6,0
2021-4-17,HoChiMinh,91,83.0,72,77,75.3,72,100,79.8,55,18,4.3,1
2021-4-18,HoChiMinh,90,83.1,77,79,76.2,73,100,80.8,59,12,5.7,1
2021-4-19,HoChiMinh,91,83.6,79,79,75.3,72,94,77.9,52,18,4.5,0
2021-4-20,HoChiMinh,93,85.5,79,79,76.1,72,94,75.0,49,14,5.0,0
2021-4-21,HoChiMinh,91,85.2,81,79,78.2,73,94,79.8,55,10,6.7,3
2021-4-22,HoChiMinh,90,82.2,75,79,76.7,75,100,84.1,66,13,5.1,1
2021-4-23,HoChiMinh,91,82.3,77,79,76.7,75,94,84.4,59,10,4.8,0
2021-4-24,HoChiMinh,93,84.4,79,79,76.7,72,100,79.5,49,14,4.7,0
2021-4-25,HoChiMinh,95,85.2,79,77,75.6,70,94,74.6,46,14,5.8,0
2021-4-26,HoChiMinh,95,86.5,79,79,76.4,72,94,73.4,47,13,6.4,1
2021-4-27,HoChiMinh,93,85.6,79,79,76.9,70,94,76.1,46,10,6.0,1
2021-4-28,HoChiMinh,93,86.0,81,79,75.6,68,94,72.3,44,12,7.2,1
2021-4-29,HoChiMinh,95,86.1,82,77,74.3,68,84,68.9,44,13,7.1,1
2021-4-30,HoChiMinh,95,86.8,82,79,74.7,70,84,68.4,44,14,8.0,2
2021-5-1,HoChiMinh,95,86.7,81,79,76.3,72,94,72.2,49,13,8.7,3
2021-5-2,HoChiMinh,97,87.4,82,77,75.5,70,84,69.0,44,12,8.7,5
2021-5-3,HoChiMinh,97,87.7,82,79,74.8,66,89,67.3,41,14,8.3,5
2021-5-4,HoChiMinh,99,87.9,79,77,73.5,66,89,64.6,37,12,6.3,2
2021-5-5,HoChiMinh,99,89.1,82,77,72.3,66,74,59.8,35,15,9.6,5
2021-5-6,HoChiMinh,99,86.5,79,79,74.8,68,94,70.0,39,15,8.4,1
2021-5-7,HoChiMinh,95,84.9,77,79,75.0,70,94,74.2,44,12,6.0,1
2021-5-8,HoChiMinh,93,84.6,81,81,77.5,72,94,79.2,55,13,4.2,0
2021-5-9,HoChiMinh,99,87.3,82,81,76.7,70,89,72.2,39,12,6.8,2
2021-5-10,HoChiMinh,95,87.5,82,79,76.5,72,89,70.8,47,14,7.3,5
2021-5-11,HoChiMinh,95,87.7,82,79,76.9,73,89,71.3,49,13,6.8,3
2021-5-12,HoChiMinh,97,87.3,82,79,77.5,72,89,73.4,44,10,4.9,1
2021-5-13,HoChiMinh,97,88.4,84,81,77.3,72,89,70.7,44,10,5.6,2
2021-5-14,HoChiMinh,95,87.4,84,81,78.6,75,89,75.0,56,12,6.8,3
2021-5-15,HoChiMinh,93,84.6,81,81,78.8,75,100,83.1,56,10,4.9,1
2021-5-16,HoChiMinh,97,86.7,79,81,78.1,72,100,77.2,44,12,5.5,0
2021-5-17,HoChiMinh,93,85.2,79,82,80.1,77,100,84.4,63,14,5.3,1
2021-5-18,HoChiMinh,93,85.1,79,81,78.3,73,100,81.1,52,10,4.7,1
2021-5-19,HoChiMinh,95,84.5,79,81,78.6,75,100,82.9,53,13,3.9,0
2021-5-20,HoChiMinh,95,86.9,79,81,76.1,70,100,73.1,44,10,4.2,0
2021-5-21,HoChiMinh,93,83.6,77,81,78.9,73,100,86.1,63,17,5.0,0
2021-5-22,HoChiMinh,91,82.4,77,79,78.3,75,100,88.3,63,18,5.8,0
2021-5-23,HoChiMinh,90,81.4,77,81,78.5,77,100,91.4,70,17,5.5,0
2021-5-24,HoChiMinh,86,80.6,77,81,77.8,75,100,91.6,74,10,5.3,0
2021-5-25,HoChiMinh,82,77.1,73,79,76.3,73,100,97.3,84,12,3.6,0
2021-5-26,HoChiMinh,86,80.6,75,79,77.0,75,100,89.1,74,12,4.8,0
2021-5-27,HoChiMinh,88,81.2,77,81,78.8,77,100,92.6,75,14,3.4,0
2021-5-28,HoChiMinh,91,84.3,79,81,78.2,75,100,82.7,59,8,4.2,1
2021-5-29,HoChiMinh,95,84.7,79,81,78.4,75,100,82.3,56,16,4.9,1
2021-5-30,HoChiMinh,95,87.0,79,82,77.8,72,100,76.0,47,8,4.7,0
2021-5-31,HoChiMinh,93,87.2,81,82,79.7,77,100,78.7,59,13,7.8,5
2021-6-1,HoChiMinh,93,85.6,82,82,80.1,77,94,83.0,59,13,6.6,2
2021-6-2,HoChiMinh,93,83.6,75,82,78.1,0,100,86.3,0,17,5.5,1
2021-6-3,HoChiMinh,95,86.5,79,82,78.8,75,100,78.9,53,9,5.3,0
2021-6-4,HoChiMinh,95,87.6,81,82,78.7,72,100,76.2,47,10,6.7,1
2021-6-5,HoChiMinh,95,86.1,81,82,78.6,75,100,79.1,53,13,8.9,5
2021-6-6,HoChiMinh,91,83.5,81,82,78.7,75,94,85.8,66,22,6.9,1
2021-6-7,HoChiMinh,91,82.9,75,81,78.3,75,100,86.6,59,24,10.0,2
2021-6-8,HoChiMinh,84,79.6,75,81,76.7,75,100,91.3,79,18,6.1,0
2021-6-9,HoChiMinh,90,82.5,77,81,77.2,73,100,85.1,62,21,5.8,1
2021-6-10,HoChiMinh,90,82.3,79,81,77.3,73,100,85.4,62,17,8.5,1
2021-6-11,HoChiMinh,91,82.9,77,79,76.6,73,100,83.3,55,15,8.2,2
2021-6-12,HoChiMinh,90,82.2,77,79,75.3,72,100,81.2,59,20,9.8,3
2021-6-13,HoChiMinh,91,84.1,79,79,76.7,73,94,79.4,62,16,9.7,1
2021-6-14,HoChiMinh,93,84.4,81,81,76.7,73,94,79.3,52,23,8.9,2
2021-6-15,HoChiMinh,91,81.9,77,81,78.5,75,100,90.2,63,15,6.0,0
2021-6-16,HoChiMinh,91,84.3,79,82,78.6,75,100,83.5,62,12,5.7,1
2021-6-17,HoChiMinh,95,85.4,77,81,77.3,72,100,78.9,47,12,4.5,0
2021-6-18,HoChiMinh,93,85.6,79,79,77.3,72,100,77.9,52,13,5.6,0
2021-6-19,HoChiMinh,93,85.5,81,82,79.4,73,100,82.3,59,15,7.2,2
2021-6-20,HoChiMinh,95,85.5,77,81,77.4,70,100,78.3,44,15,8.0,2
2021-6-21,HoChiMinh,90,83.4,77,81,78.0,75,100,83.7,70,18,9.0,1
2021-6-22,HoChiMinh,90,82.7,77,81,78.7,77,100,87.9,66,20,9.3,6
2021-6-23,HoChiMinh,91,82.5,77,81,78.0,75,100,86.8,66,22,7.0,1
2021-6-24,HoChiMinh,93,84.9,77,81,77.8,75,100,80.0,56,12,5.9,0
2021-6-25,HoChiMinh,93,84.4,79,81,78.7,73,100,83.7,52,13,7.0,0
2021-6-26,HoChiMinh,93,85.5,81,81,78.8,75,100,81.3,59,9,6.6,2
2021-6-27,HoChiMinh,95,86.8,81,81,76.8,68,100,73.9,44,12,6.6,2
2021-6-28,HoChiMinh,95,86.7,81,81,77.3,72,94,74.8,47,16,8.4,5
2021-6-29,HoChiMinh,95,86.3,81,81,78.0,72,100,77.5,47,12,6.3,1
2021-6-30,HoChiMinh,93,85.1,81,82,79.4,75,100,82.8,56,13,7.4,3
2021-7-1,HoChiMinh,95,86.3,81,81,76.9,70,100,75.5,44,13,7.7,2
2021-7-2,HoChiMinh,95,87.5,81,82,77.1,70,94,72.5,47,12,7.5,5
2021-7-3,HoChiMinh,97,87.1,81,81,77.8,73,100,75.3,47,13,5.7,2
2021-7-4,HoChiMinh,91,83.9,81,84,79.3,72,100,86.5,70,21,6.1,1
2021-7-5,HoChiMinh,90,81.6,77,82,79.2,75,100,92.3,70,14,4.5,0
2021-7-6,HoChiMinh,88,81.6,77,82,78.4,77,100,90.4,79,21,6.9,0
2021-7-7,HoChiMinh,93,82.0,77,79,76.8,73,100,86.0,52,26,8.3,2
2021-7-8,HoChiMinh,88,81.2,77,81,77.5,77,100,89.0,70,13,7.2,3
2021-7-9,HoChiMinh,88,82.2,77,79,75.9,72,100,82.3,58,14,7.4,1
2021-7-10,HoChiMinh,91,85.0,79,79,76.0,73,94,75.9,55,9,5.6,0
2021-7-11,HoChiMinh,95,86.2,81,79,75.9,70,94,72.9,44,12,4.7,0
2021-7-12,HoChiMinh,95,85.1,79,81,76.4,72,100,76.7,47,14,5.3,1
2021-7-13,HoChiMinh,93,84.6,77,79,76.2,70,100,77.3,49,9,3.9,1
2021-7-14,HoChiMinh,91,82.3,77,79,77.0,75,100,85.2,62,9,4.3,1
2021-7-15,HoChiMinh,91,80.9,77,79,76.8,75,100,88.5,62,14,5.1,0
2021-7-16,HoChiMinh,93,83.7,75,79,75.2,72,100,77.3,55,12,5.9,0
2021-7-17,HoChiMinh,91,84.8,79,79,76.0,73,100,76.9,55,15,8.3,3
2021-7-18,HoChiMinh,91,83.3,79,79,76.6,72,94,81.4,52,24,11.0,1
2021-7-19,HoChiMinh,91,79.4,72,81,74.1,70,100,85.5,59,25,6.7,0
2021-7-20,HoChiMinh,91,81.3,77,79,75.1,72,94,82.5,63,17,6.2,0
2021-7-21,HoChiMinh,88,81.9,79,81,76.5,73,100,84.8,62,21,10.8,3
2021-7-22,HoChiMinh,90,81.1,73,79,77.0,72,100,87.8,70,17,9.0,1
2021-7-23,HoChiMinh,88,81.0,73,81,78.7,73,100,92.8,75,23,8.8,3
2021-7-24,HoChiMinh,91,84.9,81,81,78.7,77,100,82.3,63,22,13.0,7
2021-7-25,HoChiMinh,90,81.6,75,79,76.7,75,100,86.2,62,21,9.7,2
2021-7-26,HoChiMinh,91,84.0,79,79,77.2,75,94,80.7,63,20,11.7,5
2021-7-27,HoChiMinh,91,82.0,77,81,78.2,77,100,89.3,70,25,11.2,6
2021-7-28,HoChiMinh,88,81.2,77,81,77.2,73,100,88.3,75,26,11.1,6
2021-7-29,HoChiMinh,90,80.6,77,81,78.1,75,100,92.5,70,20,9.4,3
2021-7-30,HoChiMinh,90,82.9,77,81,77.8,77,100,85.4,66,17,10.1,1
2021-7-31,HoChiMinh,91,85.3,79,81,78.4,77,100,80.3,63,16,11.5,6
2021-8-1,HoChiMinh,93,83.9,79,79,78.0,75,100,83.6,59,18,11.8,7
2021-8-2,HoChiMinh,90,83.8,79,81,78.6,77,100,84.7,66,18,12.8,6
2021-8-3,HoChiMinh,91,84.8,81,79,77.9,75,94,80.6,63,22,14.1,8
2021-8-4,HoChiMinh,91,84.1,79,79,78.3,75,100,82.9,63,21,12.6,5
2021-8-5,HoChiMinh,91,84.3,81,81,78.6,77,94,83.3,66,20,14.1,9
2021-8-6,HoChiMinh,91,85.1,81,81,78.0,75,94,80.2,62,17,12.3,8
2021-8-7,HoChiMinh,93,85.5,81,79,78.0,73,94,78.7,59,17,9.8,0
2021-8-8,HoChiMinh,93,85.9,81,81,79.0,77,94,79.9,63,14,8.9,5
2021-8-9,HoChiMinh,95,86.3,81,81,78.4,73,94,77.4,56,15,8.5,3
2021-8-10,HoChiMinh,95,84.3,79,81,78.4,75,100,83.3,56,15,7.7,3
2021-8-11,HoChiMinh,91,82.4,77,81,77.8,75,94,86.8,66,17,6.0,1
2021-8-12,HoChiMinh,88,82.4,77,81,77.1,75,100,84.4,70,16,4.8,0
2021-8-13,HoChiMinh,93,83.4,79,81,77.1,75,100,82.3,56,16,5.8,0
2021-8-14,HoChiMinh,91,84.2,79,79,77.1,75,94,80.2,59,13,6.4,0
2021-8-15,HoChiMinh,88,83.4,79,79,76.9,75,94,81.6,66,7,3.4,0
2021-8-16,HoChiMinh,95,83.5,75,79,75.3,70,100,79.3,44,14,3.9,0
2021-8-17,HoChiMinh,93,81.8,72,79,76.1,72,100,84.4,56,16,3.4,0
2021-8-18,HoChiMinh,93,82.1,72,79,75.3,72,100,82.3,52,14,3.7,0
2021-8-19,HoChiMinh,95,82.7,75,79,74.6,70,100,78.9,46,12,3.8,0
2021-8-20,HoChiMinh,91,81.5,75,79,76.2,73,100,85.1,59,15,3.2,0
2021-8-21,HoChiMinh,93,82.0,73,79,76.2,72,100,84.5,52,23,2.7,0
2021-8-22,HoChiMinh,93,84.5,79,81,77.4,73,100,80.7,52,15,5.8,0
2021-8-23,HoChiMinh,90,81.7,77,81,77.6,73,100,88.4,66,17,5.4,0
2021-8-24,HoChiMinh,90,80.7,75,79,77.3,75,100,90.5,62,18,4.9,0
2021-8-25,HoChiMinh,90,81.2,77,79,76.9,73,100,87.7,66,16,6.4,2
2021-8-26,HoChiMinh,90,80.2,77,79,76.6,75,100,89.5,66,14,5.2,1
2021-8-27,HoChiMinh,91,83.3,77,79,76.3,73,100,81.0,55,10,3.8,0
2021-8-28,HoChiMinh,90,79.7,75,79,76.7,73,100,91.2,70,10,3.6,0
2021-8-29,HoChiMinh,90,81.4,75,79,76.2,73,100,85.5,62,9,3.9,0
2021-8-30,HoChiMinh,93,81.0,73,79,76.3,73,100,87.3,56,13,3.3,0
2021-8-31,HoChiMinh,93,81.5,77,81,77.2,75,100,87.7,56,10,2.6,0
2021-9-1,HoChiMinh,91,83.2,77,79,76.8,73,100,82.0,59,9,3.9,0
2021-9-2,HoChiMinh,88,81.9,77,81,76.6,75,94,84.5,70,13,3.9,0
2021-9-3,HoChiMinh,90,82.1,77,79,76.8,75,100,85.0,66,14,6.2,0
2021-9-4,HoChiMinh,88,80.5,77,79,76.7,75,100,89.5,66,15,5.5,0
2021-9-5,HoChiMinh,90,80.7,75,79,75.6,75,100,85.9,62,12,4.9,0
2021-9-6,HoChiMinh,91,82.0,75,77,75.3,73,100,82.0,59,12,4.5,0
2021-9-7,HoChiMinh,91,82.3,77,79,76.8,75,100,84.5,59,14,4.2,0
2021-9-8,HoChiMinh,90,82.3,79,81,76.9,75,94,84.7,66,20,9.1,3
2021-9-9,HoChiMinh,90,80.9,75,81,76.8,75,100,88.1,66,25,8.8,3
2021-9-10,HoChiMinh,88,81.4,77,79,77.7,75,100,89.2,66,18,8.2,3
2021-9-11,HoChiMinh,90,82.5,77,79,76.8,75,100,84.1,66,20,10.0,2
2021-9-12,HoChiMinh,90,81.2,73,79,76.7,73,100,87.3,66,20,10.2,1
2021-9-13,HoChiMinh,90,80.9,77,81,77.8,75,100,90.9,70,18,7.2,0
2021-9-14,HoChiMinh,86,80.2,75,81,78.5,75,100,94.3,79,15,3.8,0
2021-9-15,HoChiMinh,90,81.6,77,79,76.3,73,100,85.3,59,12,4.9,1
2021-9-16,HoChiMinh,91,82.3,77,79,77.6,75,100,86.8,59,12,2.8,0
2021-9-17,HoChiMinh,91,82.3,77,81,76.2,70,100,83.3,55,13,3.0,0
2021-9-18,HoChiMinh,93,81.8,75,77,76.0,73,100,84.2,55,8,3.3,1
2021-9-19,HoChiMinh,86,79.9,75,77,76.3,75,100,89.7,70,8,3.3,0
2021-9-20,HoChiMinh,90,80.9,75,79,75.3,73,100,84.6,59,17,6.3,1
2021-9-21,HoChiMinh,90,81.0,77,77,75.6,72,100,85.3,55,14,4.2,0
2021-9-22,HoChiMinh,90,81.8,77,79,76.6,73,100,85.2,62,14,5.7,0
2021-9-23,HoChiMinh,90,81.9,77,77,75.4,73,100,82.8,59,13,4.8,0
2021-9-24,HoChiMinh,91,81.2,75,79,77.6,75,100,89.7,63,14,5.9,1
2021-9-25,HoChiMinh,88,80.7,75,79,77.0,75,100,89.4,66,14,3.8,0
2021-9-26,HoChiMinh,90,79.7,77,79,77.0,75,100,92.3,62,12,2.6,0
2021-9-27,HoChiMinh,91,83.6,75,81,76.1,73,100,79.8,55,10,4.6,0
2021-9-28,HoChiMinh,93,84.1,79,79,77.0,73,100,80.5,52,9,3.4,0
2021-9-29,HoChiMinh,91,83.5,79,81,77.1,75,100,81.8,59,13,3.7,0
2021-9-30,HoChiMinh,90,82.0,77,81,77.2,73,100,86.5,62,10,3.6,1
2021-10-1,HoChiMinh,91,81.9,77,81,77.3,75,100,86.8,66,12,3.3,0
2021-10-2,HoChiMinh,84,78.3,75,81,76.0,73,100,92.9,79,14,5.3,0
2021-10-3,HoChiMinh,86,80.7,75,77,76.0,75,100,86.3,70,6,2.0,0
2021-10-4,HoChiMinh,90,82.2,77,81,77.0,73,100,85.4,59,14,2.8,0
2021-10-5,HoChiMinh,90,81.5,75,79,76.5,73,100,86.4,62,14,4.1,1
2021-10-6,HoChiMinh,84,79.9,77,79,78.3,77,100,94.5,79,7,3.4,0
2021-10-7,HoChiMinh,88,80.5,75,81,77.4,73,100,90.8,70,18,5.2,0
2021-10-8,HoChiMinh,88,82.1,77,81,77.7,75,100,87.2,70,14,9.2,2
2021-10-9,HoChiMinh,88,81.0,77,81,78.1,77,100,91.2,74,18,8.1,1
2021-10-10,HoChiMinh,91,82.8,79,81,78.7,75,100,88.0,59,17,8.1,1
2021-10-11,HoChiMinh,86,80.6,75,81,77.9,73,100,91.4,74,17,8.7,0
2021-10-12,HoChiMinh,88,81.3,77,81,77.3,75,100,88.0,70,18,10.4,3
2021-10-13,HoChiMinh,91,83.1,79,81,77.0,75,94,83.4,59,17,10.8,6
2021-10-14,HoChiMinh,91,83.3,81,81,78.7,75,94,85.8,66,16,8.4,1
2021-10-15,HoChiMinh,93,83.2,77,81,77.4,73,100,84.3,52,18,5.3,0
2021-10-16,HoChiMinh,86,79.6,77,81,76.7,73,100,91.3,70,7,3.5,0
2021-10-17,HoChiMinh,86,79.1,73,77,74.2,72,100,85.6,66,16,5.8,1
2021-10-18,HoChiMinh,90,83.6,79,77,75.7,72,94,78.6,58,8,4.5,0
2021-10-19,HoChiMinh,91,84.3,79,79,77.1,73,94,80.0,55,10,5.0,0
2021-10-20,HoChiMinh,91,81.0,75,79,77.7,75,100,90.8,63,12,3.1,0
